Company Name,Domain,Industry,Location,Headcount,Linkedin,Description,Company Type,Keywords,Technologies,Tags
Fondazione Edmund Mach,fmach.it,Biotechnology Research,"Trento, Philippines",501-1000,https://www.linkedin.com/company/fondazionemach,"Fondazione Edmund Mach is a Research Institute that focuses on agricultural science, environmental studies, education, and sustainability.",government agency,"research institute, agricultural science, environmental studies, education, sustainability","Varnish, Font Awesome, Jquery, Jquery Ui, Ez Publish, Php, Yui, Youtube, Recaptcha, Google Analytics",""
Eurofins,eurofins.fi,Biotechnology Research,"Luxembourg, Luxembourg",10001+,https://www.linkedin.com/company/eurofins,Eurofins is a Life Sciences company that offers biotechnology and scientific testing services.,public company,"life sciences, biotechnology, scientific testing, laboratory services","Iis, Amazon Elb, Amazon Web Services, Jquery Ui, Google Tag Manager, Google Analytics, Windows Server, Jquery",""
Geron,geron.com,Biotechnology Research,"Foster City, California, United States",201-500,https://www.linkedin.com/company/geron,Geron is a biotechnology company that specializes in drug development within the pharmaceuticals and life sciences industry.,public company,"biotechnology, pharmaceuticals, life sciences, drug development","Mysql, Google Analytics, Jquery Ui, Gsap, Nginx, Hsts, Php, Wp Rocket, Google Tag Manager, Jquery, Wordpress, Apache, Prototype",""
Earlham Institute,earlham.ac.uk,Biotechnology Research,"Norwich, United Kingdom",51-200,https://www.linkedin.com/company/earlhaminstitute,"Earlham Institute is a research institute specializing in biotechnology, genomics, and bioinformatics.",non profit,"biotechnology, bioinformatics, genomics, life sciences, research institute","Google Analytics, Varnish, Disqus, Google Tag Manager, Drupal, Php, Jquery, F5 Bigip, Select2, Addtoany, Crazy Egg, Bootstrap, Google Font Api, Youtube, Facebook, Hotjar, Google Maps",""
Neogen,neogen.com,Biotechnology Research,"Lansing, Michigan, United States",1001-5000,https://www.linkedin.com/company/neogen-corporation,"Neogen is a biotechnology company that specializes in food safety, animal health, and diagnostics.",public company,"biotechnology, food safety, animal health, diagnostics","Joomla, Google Tag Manager, Google Analytics, Microsoft Asp.Net, Azure, React, Iis, F5 Bigip, Windows Server, Jquery Ui, Php, Google Analytics Enhanced Ecommerce, Cloudflare, Recaptcha, Jquery",""
BECCA Cosmetics,beccacosmetics.com,Cosmetics,"New York City, New York, United States",51-200,https://www.linkedin.com/company/beccacosmetics,BECCA Cosmetics is a beauty company that specializes in makeup and skincare products known for their high quality and diverse range of shades.,privately held,"beauty, cosmetics, makeup, skincare, beauty products","Modernizr, Php, Jquery, Mustache, Apache, Youtube, Videojs, Liveperson, Facebook, Jquery Ui, Select2, Lodash, Drupal, Slick",""
Biologique Recherche,biologique-recherche.com,Cosmetics,"Paris, France",201-500,https://www.linkedin.com/company/biologique-recherche,Biologique Recherche is a skincare company that offers luxury beauty and wellness products with a focus on natural ingredients.,privately held,"skincare, beauty, cosmetics, wellness, luxury","Google Tag Manager, Jquery Ui, Google Font Api, Php, Facebook, Google Analytics, New Relic, Jquery, Apache",""
Biotage,biotage.com,Biotechnology Research,"Uppsala, Sweden",501-1000,https://www.linkedin.com/company/biotage,Biotage is a Life Sciences company that specializes in laboratory equipment for chromatography and sample preparation.,public company,"life sciences, medicine, research and development, laboratory equipment, chromatography, sample preparation","Jquery Ui, Ubuntu, Twitter, Php, Linkedin, Hotjar, Google Analytics, Fancybox, Jquery Migrate, Google Tag Manager, Apache, Varnish, React, Cloudflare, Jquery, Matomo, Hubspot",""
DiaSorin,diasorin.com,Biotechnology Research,Saint Vincent and the Grenadines,1001-5000,https://www.linkedin.com/company/diasorin,DiaSorin is a healthcare company that specializes in medical devices and in vitro diagnostics.,privately held,"medical devices, in vitro diagnostics, healthcare, biotechnology","Google Font Api, Google Tag Manager, Google Analytics, Apache, Jquery",""
Clovis Oncology,clovisoncology.com,Biotechnology Research,"Boulder, Colorado, United States",201-500,https://www.linkedin.com/company/clovis-oncology,Clovis Oncology is a biotechnology company that specializes in developing innovative oncology treatments.,public company,"pharmaceuticals, biotechnology, oncology, healthcare","Windows Server, Iis, Jquery, Google Analytics, Bootstrap, Google Font Api, Google Tag Manager, Font Awesome",""
Biomedical Imaging Group Rotterdam,bigr.nl,Biotechnology Research,"Rotterdam, Netherlands",51-200,https://www.linkedin.com/company/biomedical-imaging-group-rotterdam,BIGR is a Biomedical Imaging group that specializes in medical image analysis and artificial intelligence to improve efficiency and quality of healthcare.,educational,"biomedical imaging, medical image analysis, artificial intelligence, healthcare, ai methods, radiology","Slick, Google Analytics, Jquery, Google Font Api, Modernizr, Zurb Foundation, Plesk, Apache, Cloudflare, Mathjax, Tally, Hugo, Bootstrap, Gsap, Jquery Cdn, Jsdelivr",""
Illamasqua,illamasqua.com,Cosmetics,"Manchester, United Kingdom",201-500,https://www.linkedin.com/company/illamasqua,Illamasqua is a beauty company that specializes in cosmetics and makeup products.,privately held,"beauty, cosmetics, makeup","Google Analytics Enhanced Ecommerce, Google Tag Manager, Varnish, Bootstrap, Facebook, Ruxit, Google Analytics, Requirejs, Google Font Api",""
NanoString Technologies,nanostring.com,Biotechnology Research,"Seattle, Washington, United States",501-1000,https://www.linkedin.com/company/nanostring-technologies,NanoString Technologies is a biotechnology company that specializes in genomics solutions for healthcare and research.,public company,"life sciences, biotechnology, genomics, healthcare, research and development","Marketo, Crazy Egg, Adroll, Facebook, Cloudflare, Kinsta, Scrollreveal, Chart.Js, Wp Engine, Google Font Api, Jquery, Google Tag Manager, Mysql, Wordpress, Modernizr, Google Cloud, Apache, Angularjs, Nginx, Bootstrap, Font Awesome, Concrete5, Php, Google Analytics, Lodash, Jquery Migrate, Twitter Emoji (Twemoji), React",""
Beautyblender,beautyblender.com,Cosmetics,"Bethlehem, Pennsylvania, United States",51-200,https://www.linkedin.com/company/rea.deeming-beauty-inc.,Beautyblender is a beauty industry company that specializes in makeup products and beauty tools.,privately held,"beauty industry, makeup products, beauty tools, cosmetics","Hotjar, Mailchimp, Facebook, Shopify, Cloudflare, Google Tag Manager, Envoy, Jquery Cdn, Http/3, Basekit, Mixitup, Activecampaign, Criteo, Hsts, Google Analytics, Appnexus, Flickity, Jquery, Slick",""
Baker Heart and Diabetes Institute,baker.edu.au,Biotechnology Research,"Melbourne, Australia",201-500,https://www.linkedin.com/company/baker-heart-and-diabetes-institute,Baker Heart and Diabetes Institute is a healthcare institute specializing in cardiology and diabetes research.,non profit,"healthcare, medical research, cardiology, diabetes, health institute","Google Tag Manager, Microsoft Asp.Net, Jquery, Facebook, Iis, Windows Server, Jquery Cdn, Google Analytics",""
My Brush Set,mymakeupbrushset.com,Cosmetics,"2740 Slough Street, L4T0V3, Mississauga, Ontario, Canada",201-500,https://www.linkedin.com/company/mymakeupbrushset,Best Quality Makeup Brushes Plus More Beauty Supplies at Affordable Prices. 10 Set Oval Brushes and 24 Piece Brush Sets costing only up to $24.99!,privately held,,"Facebook, Jquery, Cloudflare, Shopify, Google Analytics, Font Awesome, Youtube, Google Tag Manager",""
HudsonAlpha Institute for Biotechnology,hudsonalpha.org,Biotechnology Research,"Huntsville, Alabama, United States",51-200,https://www.linkedin.com/company/hudsonalpha-institute-for-biotechnology,HudsonAlpha Institute for Biotechnology is a research institute specializing in genomics and biotechnology.,non profit,"biotechnology, genomics, research, life sciences, genetic testing","Php, Woocommerce, Gravity Forms, Twitter, Ubuntu, Yoast Seo, Youtube, Apache, Font Awesome, Mysql, Wordpress, Twitter Emoji (Twemoji), Google Maps, Google Analytics, Owl Carousel, Nginx, Bootstrap, Jquery, Google Font Api, Lightbox, Google Tag Manager, Moment.Js, Jquery Migrate, Animate.Css, Select2, Pardot, Facebook, Modernizr, Jquery Ui, Recaptcha",""
Eurofins,eurofins.fr,Biotechnology Research,"Luxembourg, Luxembourg",10001+,https://www.linkedin.com/company/eurofins,Eurofins is a biotechnology company that specializes in laboratory testing services for the pharmaceutical and food safety industries.,public company,"life sciences, biotechnology, laboratory testing, pharmaceutical, food safety","Jquery Ui, Amazon Elb, Amazon Web Services, Jquery, Windows Server, Iis, Google Tag Manager, Recaptcha, Google Analytics",""
Collaborative Drug Discovery,collaborativedrug.com,Biotechnology Research,"Burlingame, California, United States",51-200,https://www.linkedin.com/company/collaborative-drug-discovery-inc-,Collaborative Drug Discovery is a pharmaceutical software company that specializes in research collaboration and scientific data management for drug development.,privately held,"pharmaceutical industry, drug development, research collaboration, scientific data management","Google Font Api, Mysql, Google Analytics, Wordpress, Php, Cloudflare, Jquery, Bootstrap, Twitter Emoji (Twemoji), Matomo, Hubspot, Weglot, Google Tag Manager, Slick, Jquery Migrate",""
IMAGE Skincare,imageskincare.com,Cosmetics,"Palm Beach, Florida, United States",51-200,https://www.linkedin.com/company/image-skincare,IMAGE Skincare is a skincare company that offers a range of beauty products and cosmetics with a focus on dermatology.,privately held,"skincare, beauty products, cosmetics, dermatology, personal care","Livechat, Google Tag Manager, Criteo, Hotjar, Sentry, Font Awesome, Google Analytics, Shopify, Bootstrap, Cloudflare, Jquery, Flickity, Facebook, Polyfill, Google Font Api",""
Cayman Chemical,caymanchem.com,Biotechnology Research,"Ann Arbor, Michigan, United States",201-500,https://www.linkedin.com/company/cayman-chemical,Cayman Chemical is a chemical manufacturing company specializing in biotechnology products and research and development solutions.,privately held,"chemical manufacturing, biotechnology, research and development","Amazon S3, Amazon Web Services, Requirejs, Google Analytics, Google Tag Manager, Google Analytics Enhanced Ecommerce, Mobx, Apache, Recaptcha, React, Lodash, Hotjar",""
Frank Body,frankbody.com,Cosmetics,"Cremorne, Australia",51-200,https://www.linkedin.com/company/frank-body,Frank Body is a beauty company that offers a range of skincare and personal care products.,privately held,"beauty, skincare, personal care, beauty products","Kissmetrics, Google Tag Manager, Google Analytics, Mouse Flow, Livechat, Mixpanel, Adroll, Wordpress, Facebook, Php, Cloudflare, Nginx",""
DNAnexus,dnanexus.com,Biotechnology Research,"Mountain View, California, United States",201-500,https://www.linkedin.com/company/dnanexus,DNAnexus is a bioinformatics company that specializes in cloud-based data management solutions for genomics research.,privately held,"genomics, bioinformatics, healthcare technology, cloud computing, data management","Google Maps, Nginx, Zepto, Adroll, Mixpanel, Google Tag Manager, Youtube, Linkedin Ads, Jquery Cdn, Cloudflare Bot Management, Jquery Migrate, Hsts, Http/3, Tally, Animate.Css, Vue.Js, Webpack, Pardot, Jquery, Google Analytics, Hotjar, Apache, Slick, Cloudflare, Hubspot, Matomo",""
Alessandro International,alessandro-international.com,Cosmetics,"Düsseldorf, Germany",51-200,https://www.linkedin.com/company/alessandro-international-gmbh,,sole proprietorship,,"Facebook, Google Analytics, Jquery, Hammer.Js, Webpack, Google Tag Manager, Nginx, Mysql, Google Analytics Enhanced Ecommerce, Php, Jquery Ui, Prototype, Magento",""
Oxitec,oxitec.com,Biotechnology Research,"Oxford, United Kingdom",51-200,https://www.linkedin.com/company/oxitec-ltd,Oxitec is a biotechnology company that specializes in genetic bioengineering for insect and vector control.,privately held,"biotechnology, genetics, bioengineering, insect control, vector control","Typekit, Jquery, Squarespace, Yui, Google Font Api, Lightbox, Modernizr, Google Analytics, Google Tag Manager, Sentry",""
AgriProtein,agriprotein.com,Biotechnology Research,"Los Angeles, California, United States",51-200,https://www.linkedin.com/company/agriprotein,AgriProtein is an AgriTech company that specializes in nutrient upcycling by using black soldier fly larvae to convert organic waste into sustainable protein for pets and livestock.,privately held,"agritech, sustainable agriculture, animal feed, nutrient upcycling, black soldier fly, protein production","Mysql, Php, Google Font Api, Wordpress, Jquery, Recaptcha, Cloudflare, Google Analytics, Wordpress Super Cache, Apache",""
Genethon,genethon.fr,Biotechnology Research,"Évry, France",51-200,https://www.linkedin.com/company/genethon,Genethon is a biotechnology company specializing in genetic research and gene therapy.,non profit,"biotechnology, genetics, gene therapy, research and development, genomic medicine","Facebook, Wordpress, Php, Jquery, Google Analytics, Apache, Jquery Migrate, Mysql, Matomo, Yoast Seo, Lodash, Babel, At Internet Xiti, At Internet Analyzer, Recaptcha, Twitter Emoji (Twemoji)",""
Amicus Therapeutics,amicusrx.com,Biotechnology Research,"Princeton, New Jersey, United States",501-1000,https://www.linkedin.com/company/amicus-therapeutics,Amicus Therapeutics is a biopharmaceutical company that focuses on developing therapies for rare diseases.,public company,"biopharmaceutical, pharmaceuticals, rare diseases, therapeutics, drug development","Webpack, Jquery Migrate, Google Font Api, Jquery, Google Analytics, Php, Apache, Twitter Emoji (Twemoji), Wordpress, Mysql, Mouse Flow, Facebook, Apache Http Server, Welcart, Google Tag Manager, Hsts, Jsdelivr",""
Bielenda,bielenda.pl,Cosmetics,"Kraków, Poland",201-500,https://www.linkedin.com/company/bielenda,Bielenda is a beauty and skincare company that offers a wide range of cosmetics and personal care products focused on wellness.,privately held,"beauty and skincare, cosmetics, personal care, wellness","Laravel, Google Analytics, Nginx, Php, Vue.Js, Youtube, Jquery, Recaptcha",""
DeCODE genetics,decode.com,Biotechnology Research,"Reykjavík, Iceland",201-500,https://www.linkedin.com/company/decode-genetics,deCODE genetics is a biotechnology company that specializes in genetic research and genomics.,privately held,"biotechnology, genomics, genetic research, healthcare, medical research","Php, Hsts, Mysql, Nginx, Easy Pie Chart, Wordpress, Jquery, Forte, Variti, Jquery Mobile, Google Analytics, Youtube, Twitter Emoji (Twemoji), Google Font Api, Parcel, Red Hat, Jquery Migrate, Openssl, Mediaelement.Js, Apache, Clicky",""
APIVITA,apivita.com,Cosmetics,"Markópoulo, Greece",51-200,https://www.linkedin.com/company/apivita,"APIVITA is a beauty and personal care company that specializes in natural skincare, haircare, and cosmetics.",public company,"beauty and personal care, natural products, skincare, haircare, cosmetics","Php, Jquery, Webpack, Cloudflare, Hsts, Http/3, Trackjs, Script.Aculo.Us, Jquery Ui, Facebook, Magento, Google Analytics, Google Analytics Enhanced Ecommerce, Google Maps, Prototype, Mysql, Swfobject, Font Awesome",""
Active Motif,activemotif.com,Biotechnology Research,"Carlsbad, California, United States",51-200,https://www.linkedin.com/company/active-motif,Active Motif is a Life Sciences company that specializes in providing research tools and services in the fields of Epigenetics and Cell Biology.,privately held,"life sciences, biotechnology, research, epigenetics, cell biology","Gsap, Intercom, Jquery Ui, Jquery, Nginx, Google Analytics, Google Tag Manager, Pardot, Recaptcha",""
Novus Biologicals,novusbio.com,Biotechnology Research,"Centennial, Colorado, United States",51-200,https://www.linkedin.com/company/novus-biologicals-llc,Novus Biologicals is a biotechnology company that develops and markets unique products to accelerate scientific discovery.,public company,"biotechnology, life sciences, research supplies, biological materials","Facebook, Google Analytics Enhanced Ecommerce, Marketo, Jquery Migrate, Adroll, Google Analytics, Criteo, Php, Google Tag Manager, Modernizr, New Relic, Jquery, Drupal, Underscore.Js",""
Spark Therapeutics,sparktx.com,Biotechnology Research,"Philadelphia, Pennsylvania, United States",501-1000,https://www.linkedin.com/company/spark-therapeutics-inc,Spark Therapeutics is a biotechnology company that specializes in gene therapy for various healthcare applications.,privately held,"biotechnology, pharmaceuticals, gene therapy, healthcare","Amazon Web Services, Jquery, Recaptcha, Act On, Wordpress, Php, Mysql, Google Analytics, Twitter Emoji (Twemoji), Jquery Ui, Lodash, Apache, Jquery Migrate, Wp Engine, Nginx, Amazon Cloudfront",""
Empatica,empatica.com,Biotechnology Research,"Boston, Massachusetts, United States",51-200,https://www.linkedin.com/company/empatica,Empatica is a Health-Tech company that specializes in wearable technology for healthcare and medical monitoring.,privately held,"wearable technology, health-tech, medical devices, biotech","Pardot, Amazon Web Services, Trackjs, Amazon S3, Hotjar, Amplitude, Segment, Mailchimp, Facebook, Adroll, Google Analytics, Mixpanel, Optimizely, Jquery, Hsts, Basekit, Google Tag Manager, Amazon Cloudfront, Netlify",""
PAYOT,payot.com,Cosmetics,"Neuilly-sur-Seine, France",51-200,https://www.linkedin.com/company/payot,PAYOT is a beauty care company that offers French skincare products and beauty treatments.,partnership,"beauty industry, skincare, french beauty products, beauty care, cosmetics","Cloudflare, Facebook, Polyfill, Google Analytics, Jquery, Shopify, Google Tag Manager, Elementor, Google Font Api, Jquery Ui, Php, Jquery Migrate, Mysql, Swiper Slider, Wordpress, Slick",""
Instituto Butantan,butantan.gov.br,Biotechnology Research,,1001-5000,https://www.linkedin.com/company/instituto-butantan,Instituto Butantan is a biopharmaceutical company that specializes in vaccines and contributes to public health through research and development.,government agency,"biopharmaceuticals, vaccines, public health, research and development","Recaptcha, Google Analytics, Google Font Api, Akamai, Modernizr, Bootstrap, Google Tag Manager, Slick, Jquery, Font Awesome, Apache, Windows Server, Youtube, Openssl, Php",""
TianDe,tiande.eu,Cosmetics,Russian Federation,201-500,https://www.linkedin.com/company/ecodeviva,TianDe is a beauty and health corporation that incorporates traditional healing methods from East Asian countries in their wellness and cosmetics products.,privately held,"beauty and health, wellness, cosmetics, traditional healing methods, east asian influences","Jquery, Slick, Google Analytics, Google Tag Manager, Facebook, Jquery Ui, Yandex.Metrika, Nginx, Php, Swiper Slider, 1c Bitrix, Fancybox, Vue.Js, Trackjs, Google Analytics Enhanced Ecommerce",""
Triconference,triconference.com,Biotechnology Research,"United States, Massachusetts",51-200,https://www.linkedin.com/company/molecular-med-tri-con,"30th Annual Molecular & Precision Med TRI-CON meeting, conference for the diagnostics and precision medicine. precision medicine, biomarkers and companion diagnostics, genomic medicine, precision health; innovation market access strategies for at-home diagnostics, point-of-care testing, infectious diseases; liquid biopsy, precision oncology, Multi-Cancer Early Detection, spatial biology and single-cell multiomics. Digital Medicine reflects the future of precision medicine. San Diego CA.",,,"Google Font Api, Sitefinity, Bootstrap, Windows Server, Microsoft Asp.Net, Google Analytics, Jquery, Iis, Jquery Migrate, Mouse Flow, Adroll, Google Tag Manager, Twitter",""
Precigen,precigen.com,Biotechnology Research,"Germantown, Maryland, United States",201-500,https://www.linkedin.com/company/precigen,Precigen is a biotechnology company that specializes in genetic engineering and innovations in life sciences.,public company,"biotechnology, genetic engineering, life sciences","Wp Engine, Google Tag Manager, Jquery Migrate, Google Analytics, Wordpress, Php, Mysql, Nginx, Twitter Emoji (Twemoji), Yoast Seo, Rise.Ai, Jquery, Datatables",""
Sarepta Therapeutics,sarepta.com,Biotechnology Research,"Cambridge, Massachusetts, United States",1001-5000,https://www.linkedin.com/company/sarepta-therapeutics,Sarepta Therapeutics is a biotechnology company that specializes in genetic therapies for rare diseases.,public company,"biotechnology, pharmaceuticals, healthcare, genetic therapies, rare diseases","Cloudflare, Google Tag Manager, Slick, Google Analytics, New Relic, Nginx, Jquery, Acquia Cloud Platform, Drupal, Php, Amazon Web Services, Jquery Ui, Varnish, Zurb Foundation, Tally, Jsdelivr, Chart.Js, Facebook",""
INTEGRA Biosciences,integra-biosciences.com,Biotechnology Research,"Zizers, Switzerland",201-500,https://www.linkedin.com/company/integra-biosciences,INTEGRA is a biosciences company that specializes in lab equipment and scientific instruments for research and laboratory automation.,privately held,"biosciences, lab equipment, research, scientific instruments, laboratory automation","Jquery, Cloudflare, Google Tag Manager, Platform.Sh, Drupal, Recaptcha, Php, Addtoany",""
Adaptimmune,adaptimmune.com,Biotechnology Research,"Abingdon, United Kingdom",201-500,https://www.linkedin.com/company/adaptimmune,Adaptimmune is a biotechnology company that specializes in developing immunotherapy products for the treatment of cancer.,public company,"biotechnology, immunotherapy, biopharmaceuticals, cancer treatment","Google Analytics, Apache, Jquery, Bootstrap, Google Font Api, Hotjar",""
IMIBIC,imibic.org,Biotechnology Research,"Córdoba, Argentina",201-500,https://www.linkedin.com/company/imibic,IMIBIC is a biomedical research institution that focuses on healthcare and medical innovations.,public company,"biomedical research, healthcare, medical innovations, biotechnology","Roundcube, Jquery Ui, Apache, Jquery, Php",""
Phyt's,phyts.com,Cosmetics,"46090, Lot, France",201-500,https://www.linkedin.com/company/phyt%27s,Phyt's is a beauty and skincare company that specializes in organic cosmetics made with natural ingredients.,self owned,"beauty and skincare, organic cosmetics, natural ingredients, spa products","Owl Carousel, Google Analytics, Jquery, Php, Lightbox, Jquery Ui, Facebook, Wordpress, Yoast Seo, Backbone.Js, Recaptcha, Underscore.Js, Revslider, Woocommerce, Mysql, Hotjar, Google Tag Manager, Bootstrap, Cloudflare, Elementor, Jquery Migrate, Apache, Google Font Api, Gravatar, Font Awesome, Youtube, Debian, Datatables, Litespeed, Wp Rocket",""
Burnet Institute,burnet.edu.au,Biotechnology Research,"Melbourne, Australia",201-500,https://www.linkedin.com/company/burnet-institute-for-medical-research-and-public-health,Burnet Institute is a medical research organization specializing in infectious diseases and global health.,non profit,"medical research, healthcare, public health, infectious diseases, global health","Ruby On Rails, Facebook, Adroll, Jquery, Google Analytics, Ruby, Sentry, Mouse Flow, Google Maps, Recaptcha, Fancybox, Google Tag Manager, Cloudflare, Apache",""
Repligen,repligen.com,Biotechnology Research,"Waltham, Massachusetts, United States",1001-5000,https://www.linkedin.com/company/repligen-corporation,Repligen is a biotechnology company that specializes in bioprocessing solutions including chromatography and filtration products.,public company,"biotechnology, biopharmaceuticals, life sciences, bioprocessing, chromatography, filtration","Stimulus, Recaptcha, Pimcore, Jquery, Modernizr, Php, Hubspot, Lightbox, Cloudflare, Nginx, Matomo, Font Awesome, Google Tag Manager, Angularjs, Concrete5, Scrollreveal, Bootstrap",""
Chroma Technology,chroma.com,Biotechnology Research,"Bellows Falls, Vermont, United States",51-200,https://www.linkedin.com/company/chroma-technology-corp,Chroma Technology is a leader in filter designs and manufacture of precision optical filters and coatings.,privately held,"optical filters, precision optical filters, filter designs, coatings, molecular biology, cell biology","Apache, Google Tag Manager, Drupal, Php, Twitter Typeahead.Js, Ubuntu, Handlebars, Vue.Js, Jquery",""
Halozyme,halozyme.com,Biotechnology Research,"San Diego, California, United States",201-500,https://www.linkedin.com/company/halozyme-therapeutics-inc-,Halozyme is a biopharmaceutical company that specializes in drug delivery technologies for improved therapeutics.,public company,"biopharmaceutical, biotechnology, drug delivery, therapeutics, healthcare","Jquery Migrate, Google Font Api, Wordpress, Php, Mysql, Windows Server, Iis, Jquery Ui, New Relic, Mustache, Microsoft Asp.Net, Fancybox, Google Analytics, Jquery, Hsts, Tally, Apache Http Server, All In One Seo Pack, Cloudflare, Recurly, Gutenberg, Ubuntu, Font Awesome",""
BioNTech SE,biontech.de,Biotechnology Research,"Mainz, Germany",1001-5000,https://www.linkedin.com/company/biontech-se,BioNTech SE is a biotechnology company that specializes in research and development of vaccines.,privately held,"biotechnology, pharmaceuticals, healthcare, research and development, vaccines","Varnish, Pantheon, Nginx, Youtube, Google Analytics, Modernizr, Wordpress, Animate.Css, Mariadb, Yoast Seo, Google Tag Manager, Adobe Experience Manager, Webpack, Google Font Api, Drupal, Bootstrap, Php, Owl Carousel, Jquery Ui, Jquery, New Relic, Underscore.Js, Prettyphoto, Jquery Migrate, Swiper Slider, Font Awesome",""
Sozvezdie krasoty,beauty-shop.ru,Cosmetics,Russian Federation,201-500,https://www.linkedin.com/company/sozvezdie-krasoty,Sozvezdie krasoty is a beauty retail company offering a wide range of cosmetics and personal care products.,self employed,"beauty, cosmetics, personal care, retail","Google Maps, Facebook, Debian, Youtube, Google Analytics, Nginx, Select2, Php, Yandex.Metrika, Google Tag Manager, Google Plus, Trackjs, Jquery, Recaptcha, Criteo, 1c Bitrix",""
Malin+Goetz,malinandgoetz.com,Cosmetics,"New York City, New York, United States",51-200,https://www.linkedin.com/company/-malin-goetz-,Malin+Goetz is a personal care company that offers luxury skincare and cosmetics products.,privately held,"personal care, beauty, skincare, cosmetics, luxury products","Bounce Exchange, Mysql, Php, Bootstrap, Magento, Requirejs, Google Tag Manager, Polyfill, Adroll, Font Awesome, Underscore.Js, Jquery, Webpack, Jquery Ui, Slick, Google Analytics, Facebook, Jquery Migrate, New Relic",""
Biocon,biocon.com,Biotechnology Research,"Bengaluru, India",5001-10000,https://www.linkedin.com/company/biocon,Biocon is a biotechnology company that specializes in pharmaceuticals and healthcare products.,public company,"biotechnology, pharmaceuticals, healthcare","Twitter Emoji (Twemoji), Gsap, Google Tag Manager, Hammer.Js, Revslider, Lightbox, Prettyphoto, Animate.Css, Jquery, Yoast Seo, Pinterest, Google Plus, Twitter, Facebook, Iis, Apache, Addtoany, Dreamweaver, Windows Server, Google Font Api, Aitrillion, Php, Jquery Migrate, Google Analytics, Hsts, Mysql, Apache Http Server, Bootstrap, Font Awesome, Ubuntu, Wordpress, Youtube",""
Apogenix,apogenix.com,Biotechnology Research,"98052, Redmond, Washington, United States",51-200,https://www.linkedin.com/company/apogenix-gmbh,Apogenix is a biopharmaceutical company that develops innovative immunotherapeutics targeting TNFSF-dependent signaling pathways for the treatment of cancer and viral infections.,privately held,"biopharmaceuticals, immunotherapy, cancer treatment, viral infection treatment, drug development, tnfsf-dependent signaling pathways","Apache, Php, Snap.Svg, Joomla, Jquery, Apache Http Server, Jquery Migrate, Mootools",""
Selleck Chemicals,selleckchem.com,Biotechnology Research,"Houston, Texas, United States",1001-5000,https://www.linkedin.com/company/selleck-chemicals-llc,Selleckchem is a biotechnology company that offers a wide range of chemicals for research and development in the pharmaceutical industry.,privately held,"pharmaceuticals, biotechnology, chemicals, research, development","Cloudflare, Jquery, Google Tag Manager, Google Analytics, Bootstrap",""
Ibidi,ibidi.com,Biotechnology Research,"Gräfelfing, Germany",51-200,https://www.linkedin.com/company/ibidi-gmbh,ibidi is a biotechnology company that specializes in innovative products for cell biology and microscopy.,self owned,"life sciences, biotechnology, cell biology, microscopy, lab equipment","Mysql, Jquery, Font Awesome, Debian, Prestashop, Google Font Api, Google Tag Manager, Php, Cloudflare, Recaptcha, Google Analytics",""
Genmab,genmab.com,Biotechnology Research,Denmark,1001-5000,https://www.linkedin.com/company/genmab,"Genmab is a biopharmaceutical company that specializes in developing antibody therapeutics for the treatment of cancer, particularly in the field of oncology.",public company,"biopharmaceuticals, antibody therapeutics, oncology, cancer treatment","Google Tag Manager, Google Analytics, Jquery Migrate, Cloudflare, Nginx, Php, Mysql, Wordpress, Twitter Emoji (Twemoji), Jquery",""
Beauty Plaza,beautyplaza.com,Cosmetics,"Sluis, Netherlands",51-200,https://www.linkedin.com/company/beautyplaza-com,"Beauty Plaza is a retail company that offers a wide range of beauty, cosmetics, haircare, health, and para pharmacie products both in-store and online.",privately held,"beauty, cosmetics, haircare, health, para pharmacie, retail, e-commerce, wholesale","React, Google Tag Manager, Http/3, Cloudflare Browser Insights, Hsts, Cloudflare, Gatsby, Webpack, Nginx",""
Klapp Cosmetics,klapp-cosmetics.com,Cosmetics,"Hessisch Lichtenau, Germany",201-500,https://www.linkedin.com/company/klappcosmetics,Klapp Cosmetics is a beauty company that offers skincare and cosmetic products.,public company,"beauty, skincare, cosmetics, beauty products, personal care","Joomla, Facebook, Jquery, Mysql, Php, Apache, Google Tag Manager, Recaptcha, Jquery Ui, Fancybox, Font Awesome, Prestashop, Google Maps, Google Plus, Jquery Migrate, Google Analytics, Wordpress, Google Font Api",""
BTI Biotechnology Institute,bti-biotechnologyinstitute.com,Biotechnology Research,"Gasteiz / Vitoria, Spain",201-500,https://www.linkedin.com/company/bti-biotechnology-institute,"BTI Biotechnology Institute is a biotechnology company that specializes in biomedicine, focusing on regenerative medicine and oral implantology.",privately held,"biomedicine, biotechnology, regenerative medicine, oral implantology, multinational company","Modernizr, Google Analytics, Cloudflare, Flickity, Apache, Facebook, Hotjar, Php, Jquery Ui, Google Tag Manager, Jquery, Webpack",""
Canfield Scientific,canfieldsci.com,Biotechnology Research,"Parsippany, New Jersey, United States",201-500,https://www.linkedin.com/company/canfield-scientific,Canfield Scientific is a medical imaging company specializing in dermatology and healthcare technology with a focus on image analysis.,privately held,"medical imaging, dermatology, healthcare technology, clinical research, image analysis","Apache, Jquery, Openssl, Php, Windows Server, Apache Http Server",""
